,NDB_No,Shrt_Desc,nutri_values,nutri_scores,nutri_scores_uri
1224,http://idea.rpi.edu/heals/kb/usda#06050,"SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS",0,b,https://w3id.org/um/ken4256/nutriscore/b
1225,http://idea.rpi.edu/heals/kb/usda#06051,"SOUP,PEA,SPLIT W/ HAM,CND,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1226,http://idea.rpi.edu/heals/kb/usda#06052,"SOUP,PEPPERPOT,CND,COND",7,c,https://w3id.org/um/ken4256/nutriscore/c
1227,http://idea.rpi.edu/heals/kb/usda#06053,"SOUP,CRM OF POTATO,CND,COND",5,c,https://w3id.org/um/ken4256/nutriscore/c
1228,http://idea.rpi.edu/heals/kb/usda#06054,"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1229,http://idea.rpi.edu/heals/kb/usda#06055,"SOUP,SCOTCH BROTH,CND,COND",4,c,https://w3id.org/um/ken4256/nutriscore/c
1230,http://idea.rpi.edu/heals/kb/usda#06056,"SOUP,CRM OF SHRIMP,CND,COND",8,c,https://w3id.org/um/ken4256/nutriscore/c
1231,http://idea.rpi.edu/heals/kb/usda#06057,"CAMPBELL'S RED&WHITE,CHICK BROTH,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1232,http://idea.rpi.edu/heals/kb/usda#06058,"CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND",7,c,https://w3id.org/um/ken4256/nutriscore/c
1233,http://idea.rpi.edu/heals/kb/usda#06061,"SOUP,TOMATO BF W/ NOODLE,CND,COND",7,c,https://w3id.org/um/ken4256/nutriscore/c
1234,http://idea.rpi.edu/heals/kb/usda#06062,"CAMPBELL'S,RED & WHITE,CHICK NOODLE SOUP,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1235,http://idea.rpi.edu/heals/kb/usda#06063,"SOUP,TOMATO RICE,CND,COND",7,c,https://w3id.org/um/ken4256/nutriscore/c
1236,http://idea.rpi.edu/heals/kb/usda#06064,"SOUP,TURKEY,CHUNKY,CND,RTS",2,b,https://w3id.org/um/ken4256/nutriscore/b
1237,http://idea.rpi.edu/heals/kb/usda#06067,"SOUP,CHUNKY VEG,CND,RTS",1,b,https://w3id.org/um/ken4256/nutriscore/b
1238,http://idea.rpi.edu/heals/kb/usda#06068,"SOUP,VEGETARIAN VEG,CND,COND",4,c,https://w3id.org/um/ken4256/nutriscore/c
1239,http://idea.rpi.edu/heals/kb/usda#06070,"SOUP,CHUNKY BF,CND,RTS",1,b,https://w3id.org/um/ken4256/nutriscore/b
1240,http://idea.rpi.edu/heals/kb/usda#06071,"SOUP,VEG BF,CND,COND",4,c,https://w3id.org/um/ken4256/nutriscore/c
1241,http://idea.rpi.edu/heals/kb/usda#06072,"SOUP,VEG W/ BF BROTH,CND,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1242,http://idea.rpi.edu/heals/kb/usda#06075,"SOUP,BF BROTH OR BOUILLON,PDR,DRY",14,d,https://w3id.org/um/ken4256/nutriscore/d
1243,http://idea.rpi.edu/heals/kb/usda#06076,"SOUP,BEEF BROTH,CUBED,DRY",11,d,https://w3id.org/um/ken4256/nutriscore/d
1244,http://idea.rpi.edu/heals/kb/usda#06080,"SOUP,CHICK BROTH OR BOUILLON,DRY",14,d,https://w3id.org/um/ken4256/nutriscore/d
1245,http://idea.rpi.edu/heals/kb/usda#06081,"SOUP,CHICK BROTH CUBES,DRY",8,c,https://w3id.org/um/ken4256/nutriscore/c
1246,http://idea.rpi.edu/heals/kb/usda#06082,"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1247,http://idea.rpi.edu/heals/kb/usda#06084,"CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND",5,c,https://w3id.org/um/ken4256/nutriscore/c
1248,http://idea.rpi.edu/heals/kb/usda#06091,"CAMPBELL'S RED & WHITE,BF BROTH,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1249,http://idea.rpi.edu/heals/kb/usda#06094,"SOUP,ONION,DRY,MIX",5,c,https://w3id.org/um/ken4256/nutriscore/c
1250,http://idea.rpi.edu/heals/kb/usda#06097,"CAMPBELLS RED & WHITE,BF CONSOMME,COND",5,c,https://w3id.org/um/ken4256/nutriscore/c
1251,http://idea.rpi.edu/heals/kb/usda#06101,"SOUP,CRM OF VEG,DRY,PDR",17,d,https://w3id.org/um/ken4256/nutriscore/d
1252,http://idea.rpi.edu/heals/kb/usda#06112,"SAUCE,TERIYAKI,RTS",11,d,https://w3id.org/um/ken4256/nutriscore/d
1253,http://idea.rpi.edu/heals/kb/usda#06114,"GRAVY,AU JUS,CANNED",5,c,https://w3id.org/um/ken4256/nutriscore/c
1254,http://idea.rpi.edu/heals/kb/usda#06115,"GRAVY,AU JUS,DRY",10,c,https://w3id.org/um/ken4256/nutriscore/c
1255,http://idea.rpi.edu/heals/kb/usda#06116,"GRAVY,BF,CND,RTS",5,c,https://w3id.org/um/ken4256/nutriscore/c
1256,http://idea.rpi.edu/heals/kb/usda#06117,"CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND",1,b,https://w3id.org/um/ken4256/nutriscore/b
1257,http://idea.rpi.edu/heals/kb/usda#06118,"GRAVY,BROWN,DRY",10,c,https://w3id.org/um/ken4256/nutriscore/c
1258,http://idea.rpi.edu/heals/kb/usda#06119,"GRAVY,CHICK,CND,RTS",4,c,https://w3id.org/um/ken4256/nutriscore/c
1259,http://idea.rpi.edu/heals/kb/usda#06120,"GRAVY,CHICKEN,DRY",11,d,https://w3id.org/um/ken4256/nutriscore/d
1260,http://idea.rpi.edu/heals/kb/usda#06121,"GRAVY,MUSHROOM,CANNED",6,c,https://w3id.org/um/ken4256/nutriscore/c
1261,http://idea.rpi.edu/heals/kb/usda#06122,"GRAVY,MUSHROOM,DRY,PDR",6,c,https://w3id.org/um/ken4256/nutriscore/c
1262,http://idea.rpi.edu/heals/kb/usda#06123,"GRAVY,ONION,DRY,MIX",5,c,https://w3id.org/um/ken4256/nutriscore/c
1263,http://idea.rpi.edu/heals/kb/usda#06124,"GRAVY,PORK,DRY,PDR",16,d,https://w3id.org/um/ken4256/nutriscore/d
1264,http://idea.rpi.edu/heals/kb/usda#06125,"GRAVY,TURKEY,CND,RTS",5,c,https://w3id.org/um/ken4256/nutriscore/c
1265,http://idea.rpi.edu/heals/kb/usda#06126,"GRAVY,TURKEY,DRY",10,c,https://w3id.org/um/ken4256/nutriscore/c
1266,http://idea.rpi.edu/heals/kb/usda#06127,"GRAVY,UNSPEC TYPE,DRY",11,d,https://w3id.org/um/ken4256/nutriscore/d
1267,http://idea.rpi.edu/heals/kb/usda#06128,"SOUP,CHICK NOODLE,DRY,MIX",7,c,https://w3id.org/um/ken4256/nutriscore/c
1268,http://idea.rpi.edu/heals/kb/usda#06142,"SAUCE,SOFRITO,PREP FROM RECIPE",6,c,https://w3id.org/um/ken4256/nutriscore/c
1269,http://idea.rpi.edu/heals/kb/usda#06143,"USDA COMMODITY,SPAGHETTI SAU,MEATLESS,CND",7,c,https://w3id.org/um/ken4256/nutriscore/c
1270,http://idea.rpi.edu/heals/kb/usda#06145,"CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1271,http://idea.rpi.edu/heals/kb/usda#06146,"CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1272,http://idea.rpi.edu/heals/kb/usda#06147,"SOUP,BF MUSHROOM,CND,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1273,http://idea.rpi.edu/heals/kb/usda#06149,"SOUP,CHICK MUSHROOM,CND,COND",5,c,https://w3id.org/um/ken4256/nutriscore/c
1274,http://idea.rpi.edu/heals/kb/usda#06150,"SAUCE,BARBECUE",19,e,https://w3id.org/um/ken4256/nutriscore/e
1275,http://idea.rpi.edu/heals/kb/usda#06151,"SAUCE,PLUM,READY-TO-SERVE",7,c,https://w3id.org/um/ken4256/nutriscore/c
1276,http://idea.rpi.edu/heals/kb/usda#06152,"SAUCE,PIZZA,CND,RTS",0,b,https://w3id.org/um/ken4256/nutriscore/b
1277,http://idea.rpi.edu/heals/kb/usda#06158,"SOUP,TOMATO BISQUE,CND,COND",7,c,https://w3id.org/um/ken4256/nutriscore/c
1278,http://idea.rpi.edu/heals/kb/usda#06159,"SOUP,TOMATO,CND,COND",4,c,https://w3id.org/um/ken4256/nutriscore/c
1279,http://idea.rpi.edu/heals/kb/usda#06164,"SAUCE,SALSA,RTS",6,c,https://w3id.org/um/ken4256/nutriscore/c
1280,http://idea.rpi.edu/heals/kb/usda#06165,"SAUCE,HOMEMADE,WHITE,THIN",5,c,https://w3id.org/um/ken4256/nutriscore/c
1281,http://idea.rpi.edu/heals/kb/usda#06166,"SAUCE,HOMEMADE,WHITE,MED",4,c,https://w3id.org/um/ken4256/nutriscore/c
1282,http://idea.rpi.edu/heals/kb/usda#06167,"SAUCE,HOMEMADE,WHITE,THICK",7,c,https://w3id.org/um/ken4256/nutriscore/c
1283,http://idea.rpi.edu/heals/kb/usda#06168,"SAUCE,RTS,PEPPER OR HOT",10,c,https://w3id.org/um/ken4256/nutriscore/c
1284,http://idea.rpi.edu/heals/kb/usda#06169,"SAUCE,RTS,PEPPER,TABASCO",7,c,https://w3id.org/um/ken4256/nutriscore/c
1285,http://idea.rpi.edu/heals/kb/usda#06170,"SOUP,STOCK,BEEF,HOME-PREPARED",1,b,https://w3id.org/um/ken4256/nutriscore/b
1286,http://idea.rpi.edu/heals/kb/usda#06172,"SOUP,STOCK,CHICK,HOME-PREPARED",0,b,https://w3id.org/um/ken4256/nutriscore/b
