,Food label,Substitution label
0,"SAUCE,RTS,PEPPER OR HOT","SAUCE,TOMATO CHILI SAU,BTLD,W/SALT"
6,"SAUCE,RTS,PEPPER OR HOT","SAUCE,PIZZA,CND,RTS"
1,"SAUCE,TERIYAKI,RTS,RED NA",CAMPBELL'S HOMESTYLE POTATO BROCCOLI CHS SOUP
5,"SAUCE,TERIYAKI,RTS,RED NA","CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND"
5,CAMPBELL'S TURKEY GRAVY,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O"
8,CAMPBELL'S TURKEY GRAVY,"SOUP,STOCK,FISH,HOME-PREPARED"
0,"CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND","CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP"
8,"CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND","CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND"
3,"CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND","SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS"
5,"CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND","CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP"
4,"CAMPBELL'S RED & WHITE,MANHATTAN CLAM CHOWDER,COND","SOUP,CHS,CND,PREP W/ EQ VOLUME MILK"
7,"CAMPBELL'S RED & WHITE,MANHATTAN CLAM CHOWDER,COND","SOUP,CHICK & VEG,CND,RTS"
0,"CAMPBELL'S,VEG BF SOUP,COND","SOUP,STOCK,FISH,HOME-PREPARED"
9,"CAMPBELL'S,VEG BF SOUP,COND","SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O"
0,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO CHEDDAR BACON BITS SOUP","SOUP,HEALTHY CHOIC CHICK NOODLE SOUP,CND"
3,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO CHEDDAR BACON BITS SOUP","HEALTHY REQUEST,CRM OF CELERY,COND"
4,"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O","SOUP,BF & VEG,CND,RTS"
5,"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O","PREGO PASTA,H ST- RSTD RED PR GRLIC ITLIAN SAU,RTS"
7,"SOUP,BF BROTH,CUBED,PREP W/H2O","CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST ITA"
8,"SOUP,BF BROTH,CUBED,PREP W/H2O","CAMPBELL'S HEALTHY REQUEST,CRM OF MUSHROOM SOUP,COND"
2,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT","SAUCE,PIZZA,CND,RTS"
9,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT","GRAVY,ONION,DRY,MIX"
